"id"	"description"	"en"	"local"
""	""	"Multiply"	"Множення"
""	""	"Divide"	"Ділення"
""	""	"Modulo (fmod)"	"Модуль (fmod)"
""	""	"Power"	"Живлення"
""	""	"Trigonometry (radians)"	"Тригонометрія (радіани)"
""	""	"Sine"	"Синус"
""	""	"Cosine"	"Косинус"
""	""	"Tangent"	"Тангенс"
""	""	"Arcsine"	"Арксинус"
""	""	"Arccosine"	"Арккосинус"
""	""	"Arctangent"	"Арктангенс"
""	""	"Atan2"	"Арктангенс з двома аргументами"
""	""	"Max of x and y"	"Макс від x та y"
""	""	"Min of x and y"	"Мінімум від x та y"
""	""	"Ceil x"	"Верхнє округлення x"
""	""	"Floor x"	"Нижнє округлення x"
""	""	"Round x to nearest y"	"Округлити x до y знаків після коми"
""	""	"Absolute value of x"	"Модуль з x"
""	""	"Sign of x (1 if x=0)"	"Знак х (1 якщо x=0)"
""	""	"Square root of x"	"Квадратний корінь від x"
""	""	"Length of vector(x,y)"	"Довжина вектора(x,y)"
""	""	"len(x,y) (no sqrt)"	"Довжина вектора (x,y) (без квадратного кореня)"
""	""	"Linearly interpolate x to y by z"	"Linearly interpolate x to y by z (Наче я знаю шо це)"
""	""	"Clamp x within y and z"	"Число x в діапазоні між y і z"
""	""	"Conversions"	"Переведення"
""	""	"m/s to kmph"	"м/с в кілометри за годину"
""	""	"m/s to mph"	"м/с в метри за годину"
""	""	"m/s to knots"	"м/с в вузли (майже м/с)"
""	""	"Turns to radians"	"Повороти в радіани"
""	""	"Degrees to radians"	"Кути в радіани"
""	""	"Radians to degrees"	"Радіани в кути"
""	""	"True"	"Правда"
""	""	"False"	"Хиба"
""	""	"And"	"And (Та)"
""	""	"Or"	"Or (Або)"
""	""	"Xor"	"Xor (1 вхід - true, 2 або 0 - false)"
""	""	"Not"	"Not (Не)"
""	""	"Click on the 'Logic' button in the top bar to enter logic connecting mode."	"Нажміть на кнопку кнопку ""Логіка"", щоб перейти в режим редагування мікроконтроллера."
""	""	"Select the 'Data' logic type to view 'On/Off' and 'Number' logic nodes."	"Виберіть тип логіки 'Дата', щоб відображати та редагувати вузли 'On/Off' і 'Числа'."
""	""	"Select the 'Power' logic type to view 'Power' logic nodes."	"Виберіть тип логіки 'Струм', щоб відображати та редагувати логічні вузли 'Струму'."
""	""	"Place a wedge in the highlighted space.\n\nYou can change a component's rotation by hovering over different adjacent surfaces in the vehicle."	"Розмістіть клин у виділеному просторі.\n\nВи можете змінити обертання компонента, навівши на різні сусідні поверхні в машині."
""	""	"Click on the wedge block in the component list to start building with it."	"Натисніть на блок-клин в списку компонентів, щоб розпочати будівництво."
""	""	"Place the next five wedges.\n\nMultiple wedges can be placed at once by dragging."	"Розмістіть наступні п'ять клинів.\n\nКілька клинів можна розмістити відразу перетягнувши."
""	""	"You can also use the following keys to rotate and flip the component.\n\n[j] rotates on the x axis\n[k] rotates on the y axis\n[l] rotates on the z axis\n\n[u] flips on the x axis\n[i] flips on the y axis\n[o] flips on the z axis\n\n[p] toggles the rotation display"	"Ви також можете використовувати такі клавіші, щоб обертати та перевертати компонент.\n\n[j] обертається навколо осі x\n[k] обертається навколо осі y\n[l] обертається навколо осі z\n\n [u] дзеркалить по осі x\n[i] дзеркалить по осі y\n[o] дзеркалить по осі z\n\n[p] перемикає відображення обертання"
""	""	"Click on the pyramid block in the component list to start building with it."	"Натисніть на блок піраміди в списку компонентів, щоб почати будувати з нього."
""	""	"First, connect the button in front of seat to the engine's 'on/off' node.\n\nThis will allow you to switch the engine on by pressing the button.\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to."	"Спочатку, під'єднайте кнопку перед кріслом до вузла двигуна.\n\nЦе дозволить вам перемикати двигун натисканням кнопки.\n\nНатисніть на один з логічних вузлів, щоб обрати його, а потім перетягніть і відпустіть при наведенні над вузлом, до якого ви хочете під'єднати."
""	""	"Next, connect the 'Axis 2 [$[action_up]]/[$[action_down]]' node from the seat to the engine's 'throttle in' node.\n\nThis will allow you to apply throttle power to the engine by pressing [$[action_up]] and [$[action_down]].\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to."	"Next, connect the 'Axis 2 [$[action_up]]/[$[action_down]]' node from the seat to the engine's 'throttle in' node.\n\nThis will allow you to apply throttle power to the engine by pressing [$[action_up]] and [$[action_down]].\n\nClick on one of the flashing logic nodes to select it and then drag and release while hovering over the node you want to connect it to."
""	""	"Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to one rudder's 'rotation input' node.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]]."	"Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to one rudder's 'rotation input' node.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]]."
""	""	"Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to the the 'rotation input' node in the second rudder.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]]."	"Next, connect the 'Axis 1 [$[action_left]]/[$[action_right]]' node from the seat to the the 'rotation input' node in the second rudder.\n\nThis will allow you to apply a turning force by pressing [$[action_left]] or [$[action_right]]."
""	""	"Finally, connect the power between the engine and propeller.\n\nThis will pass the power created by the engine through to the propeller and allow you to move the boat forward and back with the throttle."	"Finally, connect the power between the engine and propeller.\n\nThis will pass the power created by the engine through to the propeller and allow you to move the boat forward and back with the throttle."
""	""	"Click on the large '+' button to create a new save file."	"Click on the large '+' button to create a new save file."
""	""	"Type in a name for your boat.\nThen click on the 'Save' button."	"Type in a name for your boat.\nThen click on the 'Save' button."
""	""	"Click on the 'Save' button in the top bar to start saving your boat."	"Click on the 'Save' button in the top bar to start saving your boat."
""	""	"Press [$[action_missions]] again to close the missions screen."	"Press [$[action_missions]] again to close the missions screen."
""	""	"You have a new mission.\nPress [$[action_missions]] to bring up the missions screen and get more information."	"You have a new mission.\nPress [$[action_missions]] to bring up the missions screen and get more information."
""	""	"Click on the 'Missions' button to see an overview of all currently available missions."	"Click on the 'Missions' button to see an overview of all currently available missions."
""	""	"Click the mission overview to show more detailed information about it."	"Click the mission overview to show more detailed information about it."
""	""	"Click the 'Toggle Active' button to make this the active mission.\n\nThe mission will then be shown on the map and in game."	"Click the 'Toggle Active' button to make this the active mission.\n\nThe mission will then be shown on the map and in game."
""	""	"Press [$[action_interact_right]] when looking at the crate to pick it up."	"Press [$[action_interact_right]] when looking at the crate to pick it up."
""	""	"Press [$[action_interact_right]] (hold and release to throw) to place the crate into your boat."	"Натисніть [$[action_interact_right]] (тримайте та відпустіть, щоб кинути), щоб помістити ящик у свій човен."
""	""	"Press [$[action_use_seat]] when looking at your pilot seat to start driving your boat."	"Натисніть [$[action_use_seat] коли дивитесь на місце пілота, щоб почати керувати своїм човном."
""	""	"Press [$[action_camera_mode]] to enter third-person view while in a seat."	"Нажміть [$[action_camera_mode]], щоб увійти в вид збоку коли ви сидите."
""	""	"Press [$[action_camera_mode]] to return to first-person view."	"Нажміть [$[action_camera_mode]], щоб вернутися в вид від першой особи."
""	""	"Use [$[action_up]][$[action_left]][$[action_down]][$[action_right]] to drive to the target location."	"Use [$[action_up]][$[action_left]][$[action_down]][$[action_right]] to drive to the target location."
""	""	"Press [$[action_interact_right]] while looking at the engine on/off button to turn on the engine."	"Press [$[action_interact_right]] while looking at the engine on/off button to turn on the engine."
""	""	"Press [$[action_use_seat]] to exit your vehicle."	"Натисніть [$[action_use_seat]], щоб вийти з вашого транспорту."
""	""	"Press [$[action_interact_right]] to pick up the crate."	"Натисніть [$[action_interact_right]], щоб взяти якщик."
""	""	"Press [$[action_interact_right]] to place the crate in the drop zone."	"Натисніть [$[action_interact_right]], щоб розмістити ящик у зоні розвантаження."
""	""	"Click the sleep button to fast-forward time."	"Натисніть кнопку сну, щоб перемотати час вперед."
""	""	"Press [$[action_use_seat]] while looking at your bed to go to sleep."	"Натисніть на [$[action_use_seat]] коли наведені на ліжко, щоб спати."
""	""	"Bed"	"Ліжечко"
""	""	"Return to your home base."	"Вертайтесь на базу."
""	""	"Home"	"Дім"
""	""	"Welcome to Stormworks"	"Вітаємо в Stormworks"
""	""	"FIX YOUR BOAT"	"Відремонтуйте свій човен"
""	""	"Your boat was damaged in a recent storm. You will need to use a workbench to fix it."	"Ваш човен був пошкоджений під час шторму. Вам потрібно використати майстерню, щоб відремонтувати його."
""	""	"Workbench"	"Майстерня"
""	""	"VEHICLE EDITOR"	"Редактор транспорту"
""	""	"This is the vehicle editor, where you can fix your boat."	"Це редактор транспорту, де ви можете відремонтувати свій човен."
""	""	"ROTATE THE CAMERA"	"Поворот камери"
""	""	"You can rotate the camera around in the vehicle editor by holding the RIGHT MOUSE BUTTON while dragging, or by holding [shift] and LEFT MOUSE BUTTON."	"Ви можете вертіти камерою зажавши ПРАВУ КНОПКУ МИШІ, або утримуючи [shift] і ліву кнопку миші."
""	""	"MOVE THE CAMERA"	"Рухи камери"
""	""	"You can pan the camera around in the vehicle editor by dragging while holding \nMIDDLE MOUSE BUTTON\nor\n[alt] and LEFT MOUSE BUTTON."	"Ви можете переміщувати камеру в редакторі техніки, утримуючи \nСКМ\nабо\n[alt] і ЛКМ."
""	""	"ZOOM THE CAMERA"	"НАБЛИЖЕННЯ"
""	""	"You can zoom the camera in and out by using the MOUSE SCROLL WHEEL\nor\nthe [-] and [=] keys."	"Ви можете наблизити або віддалити камеру і покрутивши колесо миші \nабо\n клавіші [-] і [=]."
""	""	"RESET THE CAMERA"	"Відновлення положення камери"
""	""	"Open the camera settings by pressing the 'Camera' button."	"Відкрийте налаштування камери, натиснувши на кнопку ""Камера""."
""	""	"Return the camera to its original position by pressing the 'Reset Camera' button."	"Поверніть камеру на початкове положення, натиснувши кнопку ""Скинути камеру""."
""	""	"PLACE BLOCK (1/3)"	"ВСТАНОВІТЬ БЛОК (1/3)"
""	""	"Place a block in the highlighted space.\n\nMouse over an adjacent component to choose what to connect the block to.\n\nThen click to place it."	"Встановіть блоки в підсвічені місця.\n\nНаведіть курсор миші на сусідній компонент, щоб вибрати, з чим з'єднати блок.\n\nПотім натисніть, щоб встановити його."
""	""	"PLACE BLOCK (2/3)"	"ВСТАНОВІТЬ БЛОК (2/3)"
""	""	"PLACE BLOCK (3/3)"	"ВСТАНОВІТЬ БЛОК (3/3)"
""	""	"PLACE BLOCKS"	"ВСТАНОВІТЬ БЛОКИ"
""	""	"Place the next three blocks.\n\nMultiple blocks can be placed at once by dragging."	"Встановіть наступні три блока.\n\nДекілька блоків можуть бути встановлені за раз якщо зажати клавішу встановлення і потягнути."
""	""	"PLACE WEDGE"	"ВСТАНОВІТЬ ПОХИЛИЙ БЛОК"
""	""	"PLACE WEDGES"	"ВСТАНОВІТЬ ПОХИЛІ БЛОКИ"
""	""	"PLACE PYRAMID"	"ВСТАНОВІТЬ ПІРАМІДУ"
""	""	"CONNECT LOGIC (1/5)"	"ПІДКЛЮЧІТЬ ЛОГІКУ (1/5)"
""	""	"CONNECT LOGIC (2/5)"	"ПІДКЛЮЧІТЬ ЛОГІКУ (2/5)"
""	""	"CONNECT LOGIC (3/5)"	"ПІДКЛЮЧІТЬ ЛОГІКУ (3/5)"
""	""	"CONNECT LOGIC (4/5)"	"ПІДКЛЮЧІТЬ ЛОГІКУ (4/5)"
""	""	"CONNECT LOGIC (5/5)"	"ПІДКЛЮЧІТЬ ЛОГІКУ (5/5)"
""	""	"SAVE BOAT"	"ЗБЕРЕГТИ ЧОВЕН"
""	""	"Save your boat design so that you can come back to it later."	"Збережіть ваш човен, щоб ви могли повернутися до нього пізніше."
""	""	"SPAWN BOAT"	"ЗІБРАТИ ЧОВЕН"
""	""	"Your boat is ready to go.\n\nClick on the 'Spawn' button to build it and take it for a spin."	"Ваш човен готовий вирушати.\n\nНатисніть на кнопку 'ЗІБРАТИ' кнопку, щоб створити його та відправитися."
""	""	"SELECT ACTIVE MISSION"	"ВИБРАТИ АКТИВНУ МІСІЮ"
""	""	"COMPLETE MISSION"	"ВИКОНАТИ МІСІЮ"
""	""	"RETURN TO BASE"	"ВЕРНУТИСЯ НА БАЗУ"
""	""	"Press [f] to focus on hovered mouse position"	"Натисніть [f], щоб перемістити фокус на положення миші"
""	""	"Press [f] to focus on selected object"	"Натисніть [f], щоб перемістити камеру в об'єкт"
""	""	"Press [lmb] to place object"	"Натисніть [lmb], щоб встановити об'єкт"
""	""	"Hold [shift] to place multiple"	"Утримуйте [shift], щоб встановити декілька"
""	""	"Press [enter] to cancel"	"Натисніть [enter], щоб відмінити"
""	""	"Press [del] to delete object"	"Натисніть [del], щоб видалити об'єкт"
""	""	"Ocean"	"Вода"
""	""	"1km x 1km of empty ocean."	"Абсолютно пуста ділянка води 1км x 1км десь в окені."
""	""	"Hospital"	"Шпиталь"
""	""	"Small hospital."	"Маленький шпиталь на острові."
""	""	"Science"	"Научний комплекс"
""	""	"Small science and research outpost."	"Малий науково-дослідницький центр на острові."
""	""	"Police"	"Поліція"
""	""	"Small police station."	"Мале острівне відділення поліції."
""	""	"Airport"	"Аеропорт"
""	""	"Large runway in the shadow of an impenetrable plateau."	"Велика злітна смуга на острові без доступу з води, з парковкою для літаків."
""	""	"Brinkfield"	"Запорізька АЕС (ofc. Brinkfield)"
""	""	"Nuclear power plant with dock, reactor rooms and underground disposal pool."	"АЕС з великим доком для кораблів, та підземним басейном для некоректної утилізації ядерних відходів (Та здоровенним ліфтом туди)"
""	""	"Fishing Village"	"Рибацьке поселення"
""	""	"Small fishing village with mountain, multiple sea stacks and a rocky peninsula."	"Невеличке рибацьке поселення, multiple sea stacks and a rocky peninsula."
""	""	"Wind Turbine"	"Вітрогенератор"
""	""	"Large offshore wind turbine."	"Великий морський вітрогенератор."
""	""	"Small Oil Rig"	"Маленька плаваюча нафтодобувна станція "
""	""	"Medium Oil Rig"	"Середня плаваюча нафтодобувна станція "
""	""	"Wind Farm"	"Острівне поле вітрогенераторів"
""	""	"Multiple wind turbines atop a gentle hillside."	"Скупчення вітрогенераторів на невеликому острові."
""	""	"Oil Refinery"	"Нафтопереробний завод"
""	""	"An industrial oil refinery with boat access."	"Промисловий нафтопереробний завод із доступом на човні."
""	""	"Lighthouse"	"Маяк"
""	""	"An unmanned lighthouse surrounded by hazardous rock formations."	"Безіменний маяк оточений небезпечними скелями."
""	""	"Observatory"	"Обсерваторія"
""	""	"An astronomical observatory research base."	"Дослідницька база астрономічної обсерваторії."
""	""	"Sea Fort"	"Морський форт"
""	""	"An abandoned military sea fort that has been reopened as a tourist hotspot."	"Закинутий воєнний морський форт відновлений як туристичний об'єкт."
""	""	"Mainland Cliff"	"Материкова Cкеля"
""	""	"Small cliff at the corner of the mainland."	"Невелика скеля на краєчку материка."
""	""	"Mainland Village"	"Материкове Селище"
""	""	"Small fishing village near a rocky bay."	"Невелике рибальське селище біля скелястої бухти."
""	""	"Mainland Peninsula"	"Материковий Півострів"
""	""	"Wall of sharp rocks extending out into the ocean."	"Стіна з гострих скель, що тягнеться в океан."
""	""	"Mainland Tunnel"	"Материковий Тунель"
""	""	"A short continuing section of rail and road tunnels leading away from the mainland."	"Коротка безперервна ділянка залізничних і автомобільних тунелів, що ведуть від материка."
""	""	"Mainland Junction"	"Материковий Вузол"
""	""	"The junction point on the mainland where the trainline to the Arctic begins."	"Перехрестя на материку, де починається залізнична колія до Арктики."
""	""	"Mainland Road"	"Материкова Дорога"
""	""	"Coastal road with a natural tunnel through a rock face."	"Прибережна дорога з тунелем через скелю."
""	""	"Mainland Quarry"	"Материковий Кар'єр"
""	""	"Large quarry with mine, natural rock bridge and small castle ruin."	"Великий кар’єр із шахтою, природним кам’яним мостом і руїнами невеликого замку."
""	""	"Mainland Beach"	"Материковий пляж"
""	""	"Small beach with several rock stacks."	"Невеликий пляж із кількома каменями."
""	""	"Mainland Cliff 2"	"Сиквел Материкової Cкелі"
""	""	"Key Cottage"	"Ключовий Котедж"
""	""	"Small island with lone cottage on the key."	"Маленький острівець із самотньою хатиною на ключовому острові."
""	""	"Key Chemical Plant"	"Ключовий Хімічний Завод"
""	""	"Small island with chemical plant on the key."	"Невеликий острів з хімічним заводом на ключовому острові."
""	""	"Key Lighthouse OB"	"Ключовий Маяк"
""	""	"Small island with lighthouse on the key."	"Малий острів з маяком на ключовому острові."
""	""	"Uninhabited 1"	"Безлюдний острів 1"
""	""	"Small island with cliff edges."	"Невеликий острів із скелястими берегами"
""	""	"Uninhabited 2"	"Безлюдний острів 2"
""	""	"Smooth climb to a rocky cliffside."	"Два невеликі острова посеред океану поєднані мілиною зі сторони якої є підхід до рівнини більшого"
""	""	"Uninhabited 3"	"Безлюдний острів 3"
""	""	"Two small islands surrounded by cliffs. Aerial access only."	"Два невеликі острови, оточені скелями. Доступ лише з повітря (Якщо заморочетесь то зможете на одну залізти з палуби човна)."
""	""	"Uninhabited 4"	"Безлюдний острів 4"
""	""	"Multiple scattered sea stacks."	"Кілька розкиданих морських кекурів (Кекур — стовпоподібна або конусоподібна скеля природного походження)."
""	""	"Uninhabited 5"	"Безлюдний острів 5"
""	""	"Relatively flat island with central rocky outcrop."	"Відносно рівнинний острів із скелястим виступом у центрі."
""	""	"Uninhabited 6"	"Безлюдний острів 6"
""	""	"Rocky shoreline with a small bay."	"Кам'янисте узбережжя з невеликою затокою."
""	""	"Uninhabited 7"	"Безлюдний острів 7"
""	""	"High cliffs and a bay with 2 narrow entrances."	"Високі скелі і затока з 2 вузькими входами."
""	""	"Ruins 1"	"Руїни 1"
""	""	"Rocky coastline with small cave, ancient ruin and sheltered beach."	"Скелясте узбережжя з невеликою печерою, древніми руїнами та захищеним пляжем."
""	""	"Ruins 2"	"Руїни 2"
""	""	"Sheltered cove, ancient ruin, cliff face connected by natural arch."	"Захищена бухта, стародавні руїни, скеля, з’єднана природною аркою."
""	""	"Seabed Rock Formation 1"	"Формування гірських порід на морському дні 1"
""	""	"A rocky formation with cave on the ocean bed."	"Скелясте утворення з печерою на дні океану."
""	""	"Seabed Rock Formation 2"	"Формування гірських порід на морському дні 2"
""	""	"Two small rock formations on the ocean bed."	"Два невеликих скельних утворення на дні океану."
""	""	"Seabed Rock Formation 3"	"Формування гірських порід на морському дні 3"
""	""	"Multiple scattered rock stacks on the ocean bed."	"Кілька розкиданих кам'яних кекурів на дні океану."
""	""	"Seabed Rock Formation 4"	"Формування гірських порід на морському дні 4"
""	""	"A flat rocky formation with central mound on the ocean bed."	"Плоске скелясте утворення з пагорбом у центрі на дні океану."
""	""	"Seabed Rock Formation 5"	"Формування гірських порід на морському дні 5"
""	""	"Seabed Rock Formation 6"	"Формування гірських порід на морському дні 6"
""	""	"Small rocky formation on the ocean bed."	"Невелике скелясте утворення на дні океану."
""	""	"Seabed Rock Formation 7"	"Формування гірських порід на морському дні 7"
""	""	"Several rocky stacks on the ocean bed."	"Кілька кекурів на дні океану."
""	""	"Seabed Caves"	"Печери морського дна"
""	""	"A system of underwater caves."	"Система підводних печер."
""	""	"Seabed Shipwreck"	"Потоплений корабель на морському дні"
""	""	"A sunken iron-hulled merchant vessel."	"Затонуле торговельне судно з чавунним корпусом."
""	""	"Seabed Shipwreck 2"	"Потоплений корабель на морському дні 2"
""	""	"A sunken historic timber caravel."	"Затонулий історичний дерев'яний каравел."
""	""	"Ice"	"Лід"
""	""	"Ice Variant"	"Варіант Льоду"
""	""	"Ice Scale"	"Розмір Льоду"
""	""	"ADD ICE"	"ДОДАТИ ЛЬОДУ"
""	""	"Ice cannot be picked up but can be moved using vehicles. Its size and type can be set in the properties window."	"Лід не можна підбирати, але його можна переміщати за допомогою транспортних засобів. Його розмір і тип можна встановити у вікні властивостей."
""	""	"Arctic Ocean"	"Арктичний Океан"
""	""	"1km x 1km of empty Arctic ocean."	"Порожня ділянка океану в Арктиці площею 1км х 1км."
""	""	"Arctic Oil Refinery"	"Арктичний НПЗ"
""	""	"An oil refinery with rail access."	"Невеликий острів в Арктиці з нафтопереробним заводом та залізничним під’їздом."
""	""	"Arctic Ship Breaking Yard"	"Арктичний Суднорозбірний Завод."
""	""	"A ship breaking yard with dry dock where boats are brought to be scrapped."	"Майданчик для розбирання суден із сухим доком, куди привозять човни на розбір. Має доступ до залізниці."
""	""	"Arctic Research Facility"	"Арктичний Науково-Дослідний Центр"
""	""	"An Arctic survey base situated on top of a large iceberg."	"Арктична оглядова база, розташована на плоскому та пустому великому айсбергу."
""	""	"Arctic Mainland Rocks"	"Скелі Арктичного Материка"
""	""	"A rocky coastal area surrounded by multiple small icebergs."	"Скелястий прибережний район, оточений безліччю невеликих айсбергів."
""	""	"Arctic Oil Platform"	"Арктична Нафтова Платформа"
""	""	"An oil platform built on the edge of the Arctic mainland, with road access to a train terminal."	"Нафтова платформа була побудована на краю Арктичного материка з дорогою, що під’їжджає до залізничного терміналу."
""	""	"Arctic Mainland Hill"	"Арктичний Материковий Пагорб"
""	""	"A snow-covered rocky hill. Small section of train line with junction boxes."	"Кам'янастий пагорб вкритий снігом. Невелика ділянка колії з залізничними вузлами."
""	""	"Arctic Mainland Outcrop"	"Арктичне Материкове Відслонення Гірських Порід"
""	""	"Southern end of an outcrop off the coast of the Arctic mainland."	"Південний край відслонення гірських порід біля узбережжя Арктичного материка."
""	""	"Arctic Mainland Outpost"	"Арктичний материковий форпост"
""	""	"An Arctic research outpost, large inland lake and train terminal with road access."	"Арктичний дослідницький форт, з великим озером і залізничним терміналом із доступом до дороги."
""	""	"Arctic Fishing Village"	"Арктичне риболовне село"
""	""	"A small fishing village with a dock and a un-manned lighthouse."	"Маленьке рибальське село з доком і маяком."
""	""	"Arctic Mainland Arch"	"Арктичний Материковий Пагорб"
""	""	"Eroded rocks form a snow-covered natural arch."	"Eroded rocks form a snow-covered natural arch."
""	""	"Arctic Mainland South"	"Південь Арктичного Материка"
""	""	"Southern point of the Arctic mainland where the incoming trainline splits."	"Southern point of the Arctic mainland where the incoming trainline splits."
""	""	"Arctic Mainland Coast"	"Arctic Mainland Coast"
""	""	"A small section of coastline with multiple small icebergs offshore."	"A small section of coastline with multiple small icebergs offshore."
""	""	"Arctic Container Depot"	"Arctic Container Depot"
""	""	"A large shipping container depot with several docking areas and trainline access."	"A large shipping container depot with several docking areas and trainline access."
""	""	"Arctic Underwater Mining"	"Arctic Underwater Mining"
""	""	"An underwater drilling and mining facility with dock and trainline access."	"An underwater drilling and mining facility with dock and trainline access."
""	""	"Multiplayer Island Base"	"Multiplayer Island Base"
""	""	"A large island complete with dock and airstrip, both featuring with two workbenches."	"A large island complete with dock and airstrip, both featuring with two workbenches."
""	""	"Ice Shelf 1"	"Шельфовий льодовик 1"
""	""	"An ice shelf with multiple large icebergs."	"An ice shelf with multiple large icebergs."
""	""	"Ice Shelf 2"	"Ice Shelf 2"
""	""	"An ice shelf with narrow passages between cliffs of ice."	"An ice shelf with narrow passages between cliffs of ice."
""	""	"Ice Shelf 3"	"Ice Shelf 3"
""	""	"An ice shelf with multiple large icebergs."	"An ice shelf with multiple large icebergs."
""	""	"Ice Shelf 4"	"Ice Shelf 4"
""	""	"An ice shelf with multiple large icebergs."	"An ice shelf with multiple large icebergs."
""	""	"Ice Shelf 5"	"Ice Shelf 5"
""	""	"An ice shelf with multiple large icebergs."	"An ice shelf with multiple large icebergs."
""	""	"Ice Shelf 6"	"Ice Shelf 6"
""	""	"An ice shelf with multiple large icebergs."	"An ice shelf with multiple large icebergs."
""	""	"Ice Shelf 7"	"Ice Shelf 7"
""	""	"An ice shelf with multiple large icebergs."	"An ice shelf with multiple large icebergs."
""	""	"Ice Shelf 8"	"Ice Shelf 8"
""	""	"An ice shelf with two very large icebergs."	"An ice shelf with two very large icebergs."
""	""	"Ice Shelf 9"	"Ice Shelf 9"
""	""	"A dense ice shelf with many large icebergs."	"A dense ice shelf with many large icebergs."
""	""	"Ice Shelf 10"	"Ice Shelf 10"
""	""	"Two small icebergs."	"Two small icebergs."
""	""	"Ice Shelf 11"	"Ice Shelf 11"
""	""	"An ice shelf with multiple large icebergs."	"An ice shelf with multiple large icebergs."
""	""	"Ice Shelf 12"	"Ice Shelf 12"
""	""	"An ice shelf with multiple large icebergs."	"An ice shelf with multiple large icebergs."
""	""	"Volcano Northwest"	"Volcano Northwest"
""	""	"Northwest region of a dormant volcano."	"Northwest region of a dormant volcano."
""	""	"Volcano North"	"Volcano North"
""	""	"Northern region of a dormant volcano."	"Northern region of a dormant volcano."
""	""	"Volcano Northeast"	"Volcano Northeast"
""	""	"Northeast region of a dormant volcano."	"Northeast region of a dormant volcano."
""	""	"Volcano West"	"Volcano West"
""	""	"Western region of a dormant volcano."	"Western region of a dormant volcano."
""	""	"Volcano Center"	"Volcano Center"
""	""	"Central region of a dormant volcano."	"Central region of a dormant volcano."
""	""	"Volcano East"	"Volcano East"
""	""	"Eastern region of a dormant volcano."	"Eastern region of a dormant volcano."
""	""	"Volcano Southwest"	"Volcano Southwest"
""	""	"Southwest region of a dormant volcano."	"Southwest region of a dormant volcano."
""	""	"Volcano South"	"Volcano South"
""	""	"Southern region of a dormant volcano."	"Southern region of a dormant volcano."
""	""	"Volcano Southeast"	"Volcano Southeast"
""	""	"Southeast region of a dormant volcano."	"Southeast region of a dormant volcano."
""	""	"Special Outfit"	"Спеціальне Спорядження"
""	""	"None"	"Немає"
""	""	"Diving"	"Водолазний"
""	""	"Firefighter"	"Пожежний"
""	""	"Scuba"	"Пірнальний"
""	""	"Parachute"	"Парашют"
""	""	"Arctic"	"Арктичний"
""	""	"SET OBJECTIVE"	"ЗАДАТИ ЦІЛЬ"
